EHRProductVersion,AttestationID,ProviderID,ProductClassification,PaymentYear,ProviderType,ProgramYear,Specialty,ProductSetting,ProgramType,BusinessState/Territory,VendorName,EHRProductName,AttestationYear,AttestationMonth
2012.05,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,HealthSentry,2013,1
2012.09,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,HealthSentry,2013,1
2010.01.07 and P2 Sentinel v4.2.1,79890,257,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,"Millennium Powerchart, Healthe Exchange, IQHealth, Health Sentry, Cerner Health",2011,4
2011,68064,258,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,MI,Pulse Systems,2011 Pulse Complete EHR,2012,2
2010.01.07 and P2 Sentinel v4.2.1,79931,259,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,"Millennium Powerchart, Healthe Exchange, IQHealth, Health Sentry, Cerner Health",2011,7
2012.01.01,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,"Powerworks, Cerner Healthe and Cerner Patient Portal",2013,1
2012.01.08,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,"Powerworks, Cerner Healthe and Cerner Patient Portal",2013,1
2012.08,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,HealthSentry,2013,1
2012.01.04,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,"Powerworks, Cerner Healthe and IQHealth",2013,1
2012.05,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,HealthSentry,2013,1
2012.01,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,HealthSentry,2013,1
2012.04,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,HealthSentry,2013,1
2011.12,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,HealthSentry,2013,1
2012.07,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,HealthSentry,2013,1
2012.09,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,HealthSentry,2013,1
2012.1,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,HealthSentry,2013,1
2012.06`,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,HealthSentry,2013,1
2010.01.18,190219,259,Modular EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,FL,Cerner Corporation,"Powerworks, Cerner Healthe and IQHealth",2013,1
9.5,43037,260,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,PA,GE Healthcare,Centricity EMR,2012,8
7.2,179658,261,Complete EHR,1,EP,2012,DIAGNOSTIC RADIOLOGY,Ambulatory,Medicare,CA,Merge Healthcare,Merge RIS,2012,11
9.5,79161,262,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,MA,GE Healthcare,Centricity Practice Solution,2012,10
10,124664,263,Complete EHR,1,EP,2011,OPTOMETRY,Ambulatory,Medicare,FL,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2012,2
V6.20,163344,264,Complete EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,OR,"Vitera Healthcare Solutions, LLC",Vitera Intergy Meaningful Use Edition,2013,1
6.2,71186,264,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,OR,Sage,Sage Intergy Meaningful Use Edition,2011,11
v6.4,182014,265,Complete EHR,1,EP,2012,HEMATOLOGY/ONCOLOGY,Ambulatory,Medicare,IL,McKesson,iKnowMed EHR,2012,12
9,14210,266,Complete EHR,1,EP,2012,PLASTIC AND RECONSTRUCTIVE SURGERY,Ambulatory,Medicare,OR,eClinicalWorks LLC,eClinicalWorks,2012,12
9.5,44471,267,Complete EHR,1,EP,2012,NEUROSURGERY,Ambulatory,Medicare,LA,GE Healthcare,Centricity EMR,2012,12
2012.01,186897,268,Modular EHR,1,EP,2012,PODIATRY,Ambulatory,Medicare,WA,Cerner Corporation,HealthSentry,2012,12
2012.01.07,186897,268,Modular EHR,1,EP,2012,PODIATRY,Ambulatory,Medicare,WA,Cerner Corporation,"Powerchart, Cerner Healthe and IQHealth",2012,12
7.1,141392,269,Complete EHR,2,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,FL,ACOM Health,RAPID,2013,1
7.1,141233,269,Complete EHR,1,EP,2011,CHIROPRACTIC,Ambulatory,Medicare,FL,ACOM Health,RAPID,2011,12
7.5.10,105272,270,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,FL,"GEMMS, Inc.",GEMMS ONE,2012,10
5.6 SP1,28720,271,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,NJ,NextGen Healthcare,NextGen Ambulatory EHR,2012,2
2010.02.18,184893,272,Modular EHR,1,EP,2012,FAMILY PRACTICE,Inpatient,Medicare,FL,Cerner Corporation,Powerchart,2013,1
2010.02.18,184893,272,Modular EHR,1,EP,2012,FAMILY PRACTICE,Inpatient,Medicare,FL,Cerner Corporation,FirstNet,2013,1
2011.06,184893,272,Modular EHR,1,EP,2012,FAMILY PRACTICE,Inpatient,Medicare,FL,Cerner Corporation,HealthSentry,2013,1
2010.02.18,184893,272,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,FL,Cerner Corporation,"Powerchart, Cerner Healthe and IQHealth",2013,1
2011.06,184893,272,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,FL,Cerner Corporation,HealthSentry,2013,1
7.6,80866,273,Complete EHR,1,EP,2011,OPHTHALMOLOGY,Ambulatory,Medicare,ME,Medflow,Medflow E HR,2011,11
4.13.0,115520,274,Complete EHR,1,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,TX,"gMed, Inc.",gGastro,2013,1
9.5,43154,275,Complete EHR,1,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,MA,GE Healthcare,Centricity EMR,2012,9
version 3.7,161228,276,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,MA,Integrity Digital Solutions,Integrity EMR for Eyes,2013,1
LMR 9.0,130799,277,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MA,Partners Healthcare System,Partners Longitudinal Medical Record,2012,9
9.3,172169,278,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MI,Allscripts,Allscripts Professional EHR,2012,5
9,8434,279,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,SC,eClinicalWorks LLC,eClinicalWorks,2012,4
9.2,73104,280,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Allscripts,Allscripts Professional EHR,2011,10
7.2,149831,281,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,TX,"e-MDs, Inc.",e-MDs Solution Series,2012,2
2012.04,181284,282,Modular EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,WI,Cerner Corporation,HealthSentry,2012,11
2010.02.10,181284,282,Modular EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,WI,Cerner Corporation,"Powerchart, Cerner Healthe and IQHealth",2012,11
9.5,45355,283,Complete EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,FL,GE Healthcare,Centricity EMR,2013,1
9.5,39574,283,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,FL,GE Healthcare,Centricity EMR,2011,7
5.6 SP1,29927,284,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,IN,NextGen Healthcare,NextGen Ambulatory EHR,2012,5
9,5006,285,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,MA,eClinicalWorks LLC,eClinicalWorks,2011,11
2,139997,286,Complete EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,NY,Practice Fusion,Practice Fusion,2013,1
2,136425,286,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,NY,Practice Fusion,Practice Fusion,2011,12
10,2827,287,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,FL,Compulink,Advantage/EHR,2013,1
2010,52333,288,Complete EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,CT,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,9
7.2,149865,289,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,OH,"e-MDs, Inc.",e-MDs Solution Series,2012,4
2011,38573,290,Complete EHR,1,EP,2012,PULMONARY DISEASE,Ambulatory,Medicare,MO,"Aprima Medical Software, Inc",Aprima,2012,8
9.3,172389,291,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,VA,Allscripts,Allscripts Professional EHR,2012,7
4.13.0,115370,292,Complete EHR,1,EP,2011,GASTROENTEROLOGY,Ambulatory,Medicare,TX,"gMed, Inc.",gGastro,2012,1
4.13.0,115508,292,Complete EHR,2,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,TX,"gMed, Inc.",gGastro,2013,1
2.6,106112,293,Complete EHR,1,EP,2011,MEDICAL ONCOLOGY,Ambulatory,Medicare,FL,"Altos Solutions, Inc.",OncoEMR,2011,11
2.6,106554,293,Complete EHR,2,EP,2012,MEDICAL ONCOLOGY,Ambulatory,Medicare,FL,"Altos Solutions, Inc.",OncoEMR,2013,1
2010.02.10,180932,294,Modular EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,WI,Cerner Corporation,"Powerchart, Cerner Healthe and IQHealth",2012,7
2012.04,180932,294,Modular EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,WI,Cerner Corporation,HealthSentry,2012,7
4.13.0,115395,295,Complete EHR,1,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,TX,"gMed, Inc.",gGastro,2012,5
2011,22745,296,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,TX,"Greenway Medical Technologies, Inc.",PrimeSuite,2013,1
v10.1,171127,297,Complete EHR,1,EP,2012,PHYSICAL MEDICINE AND REHABILITATION,Ambulatory,Medicare,FL,Allscripts,Allscripts MyWay EHR,2012,12
2010,51503,298,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,IA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,8
9,9040,299,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,CO,eClinicalWorks LLC,eClinicalWorks,2012,5
2010,54174,300,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,OH,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,10
2010.01.07 and P2 Sentinel v4.2.1,116249,301,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,TX,Cerner Corporation,"Powerchart, Cerner Healthe, IQHealth, HealthSentry, and P2 Sentinel",2012,1
2010.01.07 and P2 Sentinel v4.2.1,116272,301,Complete EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,TX,Cerner Corporation,"Powerchart, Cerner Healthe, IQHealth, HealthSentry, and P2 Sentinel",2013,1
7.5.10,153531,302,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,OH,"GEMMS, Inc.",GEMMS ONE,2012,5
9,153531,302,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,OH,eClinicalWorks LLC,eClinicalWorks,2012,5
5.6 SP1,30593,303,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,FL,NextGen Healthcare,NextGen Ambulatory EHR,2012,7
5.6 SP1,31739,304,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,PA,NextGen Healthcare,NextGen Ambulatory EHR,2012,9
10,82906,305,Complete EHR,1,EP,2011,OPTOMETRY,Ambulatory,Medicare,TX,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2012,1
10,83870,305,Complete EHR,2,EP,2012,OPTOMETRY,Ambulatory,Medicare,TX,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2013,1
11.2,187250,306,Modular EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MO,Allscripts,Allscripts Enterprise EHR,2012,10
v12,187250,306,Modular EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MO,McKesson,RelayClinical? Communicator,2012,10
9.5,39740,307,Complete EHR,1,EP,2011,PULMONARY DISEASE,Ambulatory,Medicare,OR,GE Healthcare,Centricity EMR,2011,9
9.5,39741,308,Complete EHR,1,EP,2011,PULMONARY DISEASE,Ambulatory,Medicare,OR,GE Healthcare,Centricity EMR,2011,9
9,116541,309,Complete EHR,1,EP,2011,OTOLARYNGOLOGY,Ambulatory,Medicare,TX,"AllMeds, Inc.",AllMeds EHR,2011,12
9,117111,309,Complete EHR,2,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,TX,"AllMeds, Inc.",AllMeds EHR,2013,1
9.5,79507,310,Complete EHR,2,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,GA,GE Healthcare,Centricity Practice Solution,2013,1
9.5,78545,310,Complete EHR,1,EP,2011,OTOLARYNGOLOGY,Ambulatory,Medicare,GA,GE Healthcare,Centricity Practice Solution,2012,1
7.6,81128,311,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,WI,Medflow,Medflow E HR,2012,5
Summer 2009,100750,312,Complete EHR,2,EP,2012,NEUROLOGY,Ambulatory,Medicare,IA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
Summer 2009,94908,312,Complete EHR,1,EP,2011,NEUROLOGY,Ambulatory,Medicare,IA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,1
6.0.10,169915,313,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,CO,"AmazingCharts.com, Inc.",Amazing Charts,2012,8
2010,54141,314,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,LA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,10
8,119761,315,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,CT,Origin Healthcare Solutions,EMRge,2012,4
9.5,43306,316,Complete EHR,1,EP,2012,PODIATRY,Ambulatory,Medicare,WA,GE Healthcare,Centricity EMR,2012,9
4,108507,317,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,MD,Intuitive Medical Software,UroChartEHR,2012,11
v5.0,68697,318,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,CT,"meridianEMR, Inc.",meridianEMR,2012,12
9,12141,319,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,NC,eClinicalWorks LLC,eClinicalWorks,2012,10
6.1.2,170215,320,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,OR,"AmazingCharts.com, Inc.",Amazing Charts,2013,1
Summer 2009,97265,321,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,NC,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,8
2011,39094,322,Complete EHR,1,EP,2012,NEPHROLOGY,Ambulatory,Medicare,MI,"Aprima Medical Software, Inc",Aprima,2013,1
V7.10,163080,323,Complete EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,NC,"Vitera Healthcare Solutions, LLC",Vitera Intergy Meaningful Use Edition,2013,1
2011,20691,324,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,OR,"Greenway Medical Technologies, Inc.",PrimeSuite,2012,7
v. 14.0,104695,325,Complete EHR,1,EP,2012,ALLERGY/IMMUNOLOGY,Ambulatory,Medicare,KY,"Meditab Software, Inc.",IMS,2013,1
9.2.2,145697,326,Complete EHR,2,EP,2012,NEUROLOGY,Ambulatory,Medicare,TN,Allscripts,Allscripts Professional EHR,2013,1
9.2.2,144426,326,Complete EHR,1,EP,2011,NEUROLOGY,Ambulatory,Medicare,TN,Allscripts,Allscripts Professional EHR,2011,12
19.5,66980,327,Complete EHR,1,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,PA,"Community Computer Service, Inc.",MEDENT,2013,1
9.5,76172,328,Complete EHR,1,EP,2011,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,PA,McKesson,Practice Partner,2012,1
11.2,23632,329,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,IA,Allscripts,Allscripts Enterprise EHR,2012,1
10,1256,330,Complete EHR,1,EP,2011,OPTOMETRY,Ambulatory,Medicare,KY,Compulink,Advantage/EHR,2012,1
5.6 SP1,35440,331,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,CA,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
11.2,159037,332,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,OK,Allscripts,Allscripts Enterprise EHR,2013,1
2,121730,333,Complete EHR,1,EP,2011,ORTHOPEDIC SURGERY,Ambulatory,Medicare,PA,M3 Healthcare Solutions,enCompass EHR,2011,10
5.6 SP1,32147,334,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,FL,NextGen Healthcare,NextGen Ambulatory EHR,2012,9
2.3,123260,335,Complete EHR,1,EP,2012,HEMATOLOGY/ONCOLOGY,Ambulatory,Medicare,SC,"Elekta - IMPAC Medical Systems, Inc.",MOSAIQ,2012,11
2010,54241,336,Complete EHR,1,EP,2012,ENDOCRINOLOGY,Ambulatory,Medicare,LA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,10
2011,152390,337,Complete EHR,1,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,NY,"MPN Software Systems, Inc.",ECLIPSE,2013,1
10,120386,338,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,OR,GE Healthcare,Centricity Practice Solution,2012,7
10,1714,339,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,WI,Compulink,Advantage/EHR,2012,5
9,4993,340,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,CO,eClinicalWorks LLC,eClinicalWorks,2011,11
11.2,159864,341,Complete EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,PA,Allscripts,Allscripts Enterprise EHR,2013,1
2011,18807,342,Complete EHR,1,EP,2011,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,IA,"Greenway Medical Technologies, Inc.",PrimeSuite,2011,10
3.4,166304,343,Modular EHR,1,EP,2011,INTERVENTIONAL RADIOLOGY,Ambulatory,Medicare,MA,"MedSeek, Inc.",eHealth ecoSystem,2011,12
2007.19.13,166304,343,Modular EHR,1,EP,2011,INTERVENTIONAL RADIOLOGY,Ambulatory,Medicare,MA,Cerner Corporation,Powerchart and Cerner Healthe,2011,12
2011.07,166304,343,Modular EHR,1,EP,2011,INTERVENTIONAL RADIOLOGY,Ambulatory,Medicare,MA,Cerner Corporation,HealthSentry,2011,12
2010,53985,344,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,WI,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,10
9,10323,345,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,MI,eClinicalWorks LLC,eClinicalWorks,2012,8
9,16101,346,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,TX,eClinicalWorks LLC,eClinicalWorks,2013,1
5.6 SP1,35204,347,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,LA,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
V17,75350,348,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,NJ,McKesson,Medisoft Clinical,2011,10
2011,38490,349,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,MI,"Aprima Medical Software, Inc",Aprima,2012,5
9.2.2,128380,350,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,IN,Allscripts,Allscripts Professional EHR,2012,10
9.5,43496,351,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MD,GE Healthcare,Centricity EMR,2012,10
9,9532,352,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MA,eClinicalWorks LLC,eClinicalWorks,2012,6
10,177738,353,Complete EHR,1,EP,2012,NEPHROLOGY,Ambulatory,Medicare,GA,Allscripts,Allscripts Professional EHR,2012,12
9,8191,354,Complete EHR,1,EP,2012,PHYSICAL MEDICINE AND REHABILITATION,Ambulatory,Medicare,CA,eClinicalWorks LLC,eClinicalWorks,2012,4
9.5,44999,355,Complete EHR,2,EP,2012,NEUROLOGY,Ambulatory,Medicare,OR,GE Healthcare,Centricity EMR,2013,1
9.5,40384,355,Complete EHR,1,EP,2011,NEUROLOGY,Ambulatory,Medicare,OR,GE Healthcare,Centricity EMR,2012,1
2010.01.07 and P2 Sentinel v4.2.1,106735,356,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,NC,Cerner Corporation,"Powerchart, Cerner Healthe, IQHealth, HealthSentry, Cerner Health Record and P2",2011,11
2010.01.07 and P2 Sentinel v4.2.1,106848,356,Complete EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,NC,Cerner Corporation,"Powerchart, Cerner Healthe, IQHealth, HealthSentry, Cerner Health Record and P2",2013,1
11.2,159822,357,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,PA,Allscripts,Allscripts Enterprise EHR,2013,1
4,146410,358,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,KS,Williams Group,Practice Director,2012,10
11.2,155788,359,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,OR,Allscripts,Allscripts Enterprise EHR,2012,1
11.2,135015,359,Complete EHR,2,EP,2012,PODIATRY,Ambulatory,Medicare,OR,Allscripts,Allscripts Enterprise EHR,2013,1
5.6 SP1,34307,360,Complete EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,KY,NextGen Healthcare,NextGen Ambulatory EHR,2012,12
2011,21527,361,Complete EHR,1,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,LA,"Greenway Medical Technologies, Inc.",PrimeSuite,2012,11
9,8970,362,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,FL,eClinicalWorks LLC,eClinicalWorks,2012,5
12.7,183592,363,Complete EHR,1,EP,2012,PHYSICAL MEDICINE AND REHABILITATION,Ambulatory,Medicare,VA,"athenahealth, Inc",athenaClinicals,2012,7
2011,20722,364,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,TX,"Greenway Medical Technologies, Inc.",PrimeSuite,2012,7
19.5,67245,365,Complete EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,PA,"Community Computer Service, Inc.",MEDENT,2013,1
19.5,64449,365,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,PA,"Community Computer Service, Inc.",MEDENT,2011,6
9.7,85792,366,Complete EHR,1,EP,2012,DERMATOLOGY,Ambulatory,Medicare,FL,NexTech Systems Inc.,NexTech Practice 2011,2012,12
version 5.3,182462,367,Complete EHR,1,EP,2012,NEUROSURGERY,Ambulatory,Medicare,TX,"One Healthcare Solution, Inc.",M5,2013,1
7.2,179730,368,Complete EHR,1,EP,2012,DIAGNOSTIC RADIOLOGY,Ambulatory,Medicare,AZ,Merge Healthcare,Merge RIS,2013,1
9,8794,369,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,FL,eClinicalWorks LLC,eClinicalWorks,2012,5
5.6 SP1,29001,370,Complete EHR,1,EP,2011,GASTROENTEROLOGY,Ambulatory,Medicare,FL,NextGen Healthcare,NextGen Ambulatory EHR,2012,2
11.1,122049,371,Complete EHR,2,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,CT,"Nuesoft Technologies, Inc.",NueMD EHR,2013,1
11.1,122009,371,Complete EHR,1,EP,2011,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,CT,"Nuesoft Technologies, Inc.",NueMD EHR,2011,9
4.3.1,194575,372,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,NY,"STI Computer Services, Inc.",ChartMaker Medical Suite,2013,1
4.4,194575,372,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,NY,"STI Computer Services, Inc.",ChartMaker Medical Suite,2013,1
6.2,72364,373,Complete EHR,1,EP,2012,ALLERGY/IMMUNOLOGY,Ambulatory,Medicare,TX,Sage,Sage Intergy Meaningful Use Edition,2012,12
11.2,23826,374,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,AZ,Allscripts,Allscripts Enterprise EHR,2012,4
7,104156,375,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,RI,Ingenix,Ingenix CareTracker,2012,12
5.6 SP1,34974,376,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,VA,NextGen Healthcare,NextGen Ambulatory EHR,2012,12
Summer 2009,93499,377,Complete EHR,1,EP,2011,INTERNAL MEDICINE,Ambulatory,Medicare,PA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,1
5.6 SP1,32416,378,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,MO,NextGen Healthcare,NextGen Ambulatory EHR,2012,10
11.2,23692,379,Complete EHR,1,EP,2011,GENERAL SURGERY,Ambulatory,Medicare,PA,Allscripts,Allscripts Enterprise EHR,2012,2
2.5 build 25,132491,380,Complete EHR,1,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,MN,"Midwest Software, LLC",Chiro QuickCharts,2012,10
9,8764,381,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MA,eClinicalWorks LLC,eClinicalWorks,2012,5
Summer 2009,94656,382,Complete EHR,1,EP,2011,NEPHROLOGY,Ambulatory,Medicare,PA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,1
v. 14.0,104623,383,Complete EHR,1,EP,2012,ALLERGY/IMMUNOLOGY,Ambulatory,Medicare,OH,"Meditab Software, Inc.",IMS,2012,10
11.2,25419,384,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,CO,Allscripts,Allscripts Enterprise EHR,2012,12
v5.0,68807,385,Complete EHR,2,EP,2012,UROLOGY,Ambulatory,Medicare,TN,"meridianEMR, Inc.",meridianEMR,2013,1
